,job_id,nb_tasks,task_execution_time,arriving_time,starting_time,finishing_time,dataset size,transfert time,nb replicas,optimal_replicas_number,nb_first_replicas_sended
0,2,7,50,13.670131903925054,14.099999999999966,106.19999999999824,1024,1.641025641025641,10,,
1,3,3,70,16.195993760626187,17.099999999999973,153.0999999999956,1024,1.374496644295302,3,,
2,1,11,50,10.453891263175398,11.099999999999977,187.19999999999365,2048,2.797814207650273,39,,
3,10,3,1,72.25618594390913,93.09999999999899,222.59999999999164,40960,59.190751445086704,2,,
4,12,8,1,79.56428525937375,80.09999999999972,317.1000000000036,10240,101.38613861386139,5,,
5,0,6,100,10.200602872748009,11.099999999999977,344.60000000000986,10240,16.842105263157894,30,,
6,15,12,10,100.14941450566029,219.29999999999183,392.2000000000207,40960,54.97986577181208,2,,
7,17,3,80,111.53776575834615,112.0999999999979,398.20000000002204,40960,55.95628415300546,4,,
8,19,8,10,128.1803463861198,129.09999999999695,406.800000000024,10240,120.47058823529412,1,,
9,7,13,1,64.0060556182724,65.00000000000058,424.9000000000281,20480,162.53968253968253,17,,
10,9,12,80,69.78901898431089,70.0000000000003,438.60000000003123,2048,34.13333333333333,94,,
11,4,12,50,29.531920488707016,30.000000000000156,441.0000000000318,20480,28.40499306518724,134,,
12,5,9,1,40.82365057669294,41.00000000000031,444.50000000003257,40960,60.41297935103245,18,,
13,14,12,10,92.27612196323628,93.09999999999899,450.3000000000339,5120,128.0,4,,
14,6,15,80,63.09653157220674,64.00000000000064,461.0000000000363,1024,8.126984126984127,54,,
15,11,8,50,79.29534122257067,80.09999999999972,512.3000000000479,1024,8.126984126984127,24,,
16,18,6,80,128.11514670057713,129.09999999999695,567.8000000000605,40960,52.78350515463917,5,,
17,8,10,100,69.4865172122373,70.0000000000003,632.0000000000751,20480,27.48993288590604,52,,
18,16,9,100,102.63967869532853,103.09999999999842,636.1000000000761,40960,60.41297935103245,11,,
19,13,9,70,81.78120195101056,82.09999999999961,751.9000000001024,40960,56.80998613037448,28,,
